Item;Folio;Cliente;Op;Mercado;PROD.;ETA;ESCUADRIAS;;;FACTURACION;;;PQTES. SOLICITADOS;PQTES. SALDO;PZAS;TROZOS;PZAS. X PQTE.;¯;LARGO  TROZO;GRADO DE URGENCIA;Lateral;NOTA: LOS SALDOS REALES SON LOS QUE SE INFORMAN EN FOLIOS, SOLO ENTREGO UNA REFERENCIA.;PZAS. X TROZO;TROZ. X MIN;CANT. DE SEP. DE 20MM;CANT. DE TACOS;LARGO DEL TACO;PUERTO DESTINO;OBS.;M3 Prod.;M3 Fact.;M3/JAS REQUERIDOS
34;7260-D;ASUN;18143;JAPON;NW;15-jun;14;75;4,020;13;73;4,000;8;0;0;0;700;24;4,02;;;100.5*155 (2)48*155;12;;200;0;1030;NAGOYA;;0,00;0,00;0,00
68;7262-D;ASUN;18143;JAPON;NW;15-jun;14;75;4,020;13;73;4,000;23;0;0;0;450;24;4,02;;;100.5*155 (2)48*155;12;;575;0;700;NAGOYA;;0,00;0,00;0,00
18;7273-D;CMPC;18200;COREA;THIN B;30-jun;13,5;149;4,820;;;;10;5;1680;187;336;28/30;4,88;;39/46;148.5*149 (3)46.5*149;9;;50;15;;;;16,29;0,00;74,04
9;7271-D;CMPC;18200;COREA;WAR;30-jun;27,5;88;4,820;;;;18;6;1728;216;288;28/30/32;4,88;;39/46;120.5*181 (2)58*181;8;;60;18;;;;20,16;0,00;91,62
10;7271-D;CMPC;18200;COREA;WAR;30-jun;32,5;88;4,820;;;;28;20;4800;400;240;34/32;4,88;;39/46;213*181 (3)68*181;12;;200;60;;;;66,17;0,00;300,77
1;7277-D;YOO WON WOOD;18234;COREA;NW;10-jul;14;79;4,020;13;77;4,000;46;46;25116;4186;546;18;4,02;;;100.5*85 (2)48*85;6;;460;138;1030;;;111,67;100,56;507,59
3;7277-D;YOO WON WOOD;18234;COREA;THIN B;10-jul;14;119;4,020;13;117;4,000;22;22;8316;1386;378;20;4,02;;;100.5*122 (2)48*122;6;;110;66;1060;;;55,69;50,59;253,16
8;7279-D;YOO WON WOOD;18234;COREA;NW;10-jul;19;79;4,020;18;77;4,000;45;45;18135;4534;403;18;4,02;;;86.5*85 (2)41*85;4;;225;135;1030;;;109,43;100,54;497,40
9;7279-D;YOO WON WOOD;18234;COREA;WAR;10-jul;29;89;4,020;27;87;4,000;23;23;5313;1771;231;18;4,02;;;93*96;3;;230;69;980;;;55,13;49,92;250,57
4;7277-D;YOO WON WOOD;18234;COREA;THIN B;10-jul;14;149;4,020;13;147;4,000;22;22;6468;719;294;28;4,02;;;153*149 (3)48*149;9;;110;66;1030;;;54,24;49,44;246,54
7;7278-D;YOO WON WOOD;18234;COREA;NW;10-jul;17;79;4,020;16;77;4,000;45;45;20475;3413;455;22;4,02;;;118.5*85 (2)57*85;6;;225;135;1030;;;110,54;100,90;502,46
6;7278-D;YOO WON WOOD;18234;COREA;NW;10-jul;17;79;3,220;16;77;3,200;56;56;25480;4247;455;22;3,35;;;118.5*85 (2)57*85;6;;280;168;1030;;;110,19;100,45;500,85
5;7278-D;YOO WON WOOD;18234;COREA;THIN B;10-jul;14;149;3,220;13;147;3,200;28;28;8232;915;294;28;3,35;;;153*149 (3)48*149;9;;140;84;1030;;;55,29;50,34;251,33
2;7277-D;YOO WON WOOD;18234;COREA;NW;10-jul;14;79;3,220;13;77;3,200;57;57;31122;5187;546;18;3,35;;;100.5*85 (2)48*85;6;;230;171;1030;;;110,84;99,69;503,80
1;7276-D;ASUN;18235;TAILANDIA;NW;07-jul;14;77;4,020;13;75;4,000;22;22;13860;1155;630;24;4,02;;46;100.5*159 (2)48*159;12;;220;66;1060;;;60,06;54,05;273,01
